,case:Amount,case:Permit RequestedBudget,case:TripDuration,case:TripStartMonth,case:TripEndMonth,time:Remaining,act_Declaration APPROVED,act_Declaration FINAL_APPROVED,act_Declaration REJECTED,act_Declaration SUBMITTED,act_Permit APPROVED,act_Permit FINAL_APPROVED,act_Permit REJECTED,act_Permit SUBMITTED,act_Request Payment,act_Send Reminder,res_ADMINISTRATION,res_BUDGET OWNER,res_DIRECTOR,res_EMPLOYEE,res_SUPERVISOR,res_UNDEFINED,naive_predictors_answer,predict value,error
26600,231.99055694689952,1454.4619346447694,2.0,10.0,10,803502.0,0,0,0,1,1,1,0,1,0,0,1,0,0,2,1,0,-7836919.52,1248971.7831488086,445469.78314880864
26601,2041.380536142753,1080.1117008979072,5.0,9.0,10,544235.0,2,1,0,1,2,1,0,1,0,0,2,2,0,2,2,0,7479395.30952381,596556.766486111,52321.76648611098
26602,231.99055694689952,1454.4619346447694,2.0,10.0,10,803210.0,1,0,0,1,1,1,0,1,0,0,2,0,0,2,1,0,-7853728.52,702736.3807966274,-100473.61920337263
26603,2028.170998106163,1970.8817412314888,5.0,9.0,9,1148078.0,0,0,2,2,3,1,0,1,0,0,2,1,1,4,1,0,564457.4800000004,1197870.566460318,49792.56646031793
26604,2028.170998106163,1970.8817412314888,5.0,9.0,9,1148070.0,1,0,2,2,3,1,0,1,0,0,3,1,1,4,1,0,564456.4800000004,993707.6394761917,-154362.36052380828
26605,911.4418335546188,757.6196687084317,5.0,8.0,8,4175116.0000000005,0,0,1,1,2,1,0,1,0,0,2,1,0,2,1,0,8714987.981481481,2754389.8329543658,-1420726.1670456347
26606,183.64280766537527,6746.022845572126,2.0,9.0,10,542640.0,0,0,0,1,1,1,0,1,0,0,1,0,0,2,1,0,3493635.4800000004,1428741.1165634927,886101.1165634927
26607,794.8263780702541,3975.079090889664,7.0,9.0,10,1147361.0,0,0,0,1,3,1,0,1,0,0,1,1,1,2,1,0,-4708312.995584989,1310566.0058561503,163205.0058561503
26608,719.915491676269,665.7732447778724,6.0,9.0,9,196752.0,2,1,0,1,2,1,0,1,1,0,2,2,0,2,2,1,8243651.67114094,275071.41250892857,78319.41250892857
26609,767.6141758507918,907.8626878054928,6.0,9.0,9,196714.0,2,1,0,1,2,1,0,1,1,0,2,2,0,2,2,1,5097880.54137931,291578.6131875,94864.61318749998
26610,145.26985028910232,5070.8256713440205,4.0,11.0,11,4779456.0,0,0,0,0,3,1,0,1,0,0,1,1,1,1,1,0,5097878.54137931,8889735.617764877,4110279.617764877
26611,652.0100769488831,655.5413194765146,5.0,9.0,9,196638.0,1,1,0,1,1,1,0,1,1,0,2,0,0,2,2,1,-6338307.32885906,306484.3447946428,109846.34479464282
26612,1162.8384252445005,1706.6608965704502,4.0,8.0,8,196635.0,1,1,2,2,1,1,0,1,1,0,3,0,0,4,2,1,-9234627.45862069,277394.8924920635,80759.89249206352
26613,68.26643586281801,97.4048440785912,0.0,9.0,9,196631.0,1,1,0,1,1,1,0,1,1,0,2,0,0,2,2,1,2882779.3095238097,296628.1723412699,99997.1723412699
26614,1315.57300723978,1552.256181850155,5.0,9.0,9,1146957.0,0,0,0,1,2,1,0,1,0,0,1,1,0,2,1,0,6531167.004415011,1322734.5264523812,175777.52645238116
26615,1315.57300723978,1552.256181850155,5.0,9.0,9,1146941.0,0,0,1,1,2,1,0,1,0,0,2,1,0,2,1,0,6364482.004415011,1534326.3846061504,387385.38460615044
26616,126.8962651240786,245.75974192865277,1.0,11.0,11,5988817.0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,5555518.48,6339589.377858131,350772.3778581312
26617,183.64280766537527,6746.022845572126,2.0,9.0,10,541781.0,1,0,0,1,1,1,0,1,0,0,2,0,0,2,1,0,3492257.4800000004,814658.7580079363,272877.7580079363
